ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,gender_0to1,gender_1to0,marry_1to0,marry_0to1,graduated_1to0,graduated_0to1,var_down,var_up,ID_change,Segmentation
458982,1,1,61,1,4,1,2,3,5,0,0,0,0,0,0,0,0,0,3
458983,0,1,63,1,4,0,2,5,5,0,1,0,0,0,0,0,0,0,3
458984,1,1,39,1,0,0,1,3,5,1,0,0,0,0,0,0,0,0,3
458985,1,0,23,0,5,1,0,4,5,0,0,1,0,1,0,0,0,0,4
458986,1,0,18,0,5,7,0,4,5,0,0,0,0,0,0,0,0,0,4
458987,0,1,72,1,7,0,2,2,5,0,1,0,1,0,1,0,0,0,3
458988,0,0,29,0,8,2,0,3,5,0,0,1,0,1,0,0,0,0,4
458989,0,1,42,1,2,1,0,1,5,0,0,0,1,0,1,0,0,0,2
458989,0,1,36,1,2,0,0,1,5,0,0,0,0,0,0,0,0,1,2
458990,0,1,71,0,7,1,2,3,5,0,0,0,0,1,0,0,0,0,4
458991,0,1,84,1,7,3,2,2,5,0,0,0,0,0,1,0,0,0,1
458992,0,0,27,1,8,0,0,1,5,0,0,1,0,0,0,0,0,0,4
458993,1,1,29,0,1,0,0,2,3,1,0,0,1,1,0,1,0,0,1
458994,1,1,38,1,5,8,1,4,5,0,0,0,0,0,1,0,1,0,3
458994,1,1,37,1,5,8,1,4,5,0,0,0,0,0,0,0,0,1,3
458995,1,1,62,0,4,0,2,4,5,0,0,0,0,1,0,0,0,0,2
458996,0,1,71,0,-1,1,0,1,5,0,1,0,0,0,0,0,0,0,1
458996,0,1,69,0,-1,0,0,1,5,0,0,0,0,0,0,0,0,1,1
458997,1,1,61,1,0,1,1,2,5,1,0,0,0,0,1,0,0,0,2
458998,1,1,37,0,1,9,0,2,5,0,0,0,0,1,0,0,0,0,4
458999,1,1,55,1,0,1,1,2,5,0,0,0,0,0,1,0,0,0,3
459000,1,1,58,0,4,12,2,2,5,0,0,0,0,1,0,0,0,0,3
459000,1,1,59,0,4,11,2,2,5,0,0,0,0,0,0,0,0,1,3
459001,0,0,20,0,8,-1,0,4,5,0,1,1,0,0,0,0,0,0,3
459001,0,0,19,0,8,-1,0,4,5,0,0,0,0,0,0,0,0,1,3
459002,0,1,45,0,2,2,0,2,5,0,0,0,1,0,0,0,0,0,4
459003,1,1,51,1,1,0,2,5,3,1,0,0,0,0,1,1,0,0,3
459003,1,1,47,1,1,0,2,5,3,0,0,0,0,0,0,0,0,1,3
459004,0,1,51,1,0,1,2,5,5,0,1,0,0,0,0,0,1,0,3
459005,1,1,61,1,1,5,0,3,5,1,0,0,0,0,0,0,0,0,
459006,1,0,20,0,5,1,0,4,5,0,0,1,0,1,0,0,0,0,4
459007,0,1,42,1,0,1,1,3,5,0,1,0,1,0,1,0,0,0,3
459008,0,1,52,1,0,1,1,3,5,0,0,0,0,0,0,0,0,0,2
459008,0,1,47,1,0,1,1,3,5,0,0,0,0,0,0,0,0,1,2
459009,0,1,50,1,0,1,1,3,5,0,0,0,0,0,0,0,0,0,3
459010,0,1,48,1,0,-1,1,3,5,0,0,0,0,0,0,0,0,0,2
459011,1,1,88,0,7,1,0,1,5,1,0,0,0,1,0,0,0,0,1
459012,1,1,48,1,0,3,0,5,5,0,0,0,0,0,1,0,0,0,2
459013,1,1,47,1,0,3,1,4,5,0,0,0,0,0,0,0,0,0,3
459013,1,1,50,1,0,2,1,4,5,0,0,0,0,0,0,0,0,1,3
459014,1,0,22,0,5,0,0,4,5,0,0,1,0,1,0,0,0,0,4
459014,1,0,19,0,5,0,0,4,5,0,0,0,0,0,0,0,0,1,4
459015,1,0,19,0,5,0,0,3,5,0,0,0,0,0,0,0,0,0,4
459015,1,0,22,0,5,0,0,3,5,0,0,0,0,0,0,0,0,1,4
459016,0,0,18,0,5,0,0,6,5,0,1,0,0,0,0,0,0,0,4
459016,0,0,22,0,5,0,0,6,5,0,0,0,0,0,0,0,0,1,4
459017,1,1,50,1,4,-1,2,6,5,1,0,0,1,0,1,0,0,0,3
459018,1,1,85,0,4,1,2,2,5,0,0,0,0,1,0,0,0,0,4
459019,1,1,45,0,4,10,2,3,5,0,0,0,0,0,0,0,0,0,3
459020,0,1,56,1,0,0,1,4,5,0,1,0,0,0,1,0,0,0,3
459021,1,1,45,1,0,7,0,2,1,1,0,0,0,0,0,1,0,0,1
459022,1,1,67,1,0,10,0,1,5,0,0,0,0,0,0,0,1,0,4
459023,0,0,18,0,5,0,0,5,5,0,1,1,0,1,0,0,0,0,4
